-'s	của
arrowhead	đầu mũi tên
arrowroot	mì tinh
arrowroot	dong củ
arsenal	kho vũ khí
arsenal	kho đạn dược
arsenic	asen
arson	phóng hỏa
arson	đốt phá
arsonist	kẻ phóng hỏa
arsonist	kẻ đốt phá
art	nghệ thuật
arteriosclerosis	xơ vữa động mạch
artery	động mạch
arthritis	viêm khớp
artichoke	atisô
article	mạo từ
article	điều
article	bài viết
artificial intelligence	trí tuệ nhân tạo
artificial	nhân tạo
artillery	pháo
artillery	pháo binh
artilleryman	pháo binh
artisan	nghệ nhân
artist	họa sĩ
arum lily	vân môn
Aryadeva	Thánh Thiên
as far as the eye can see	mãi tận chân trời
as follows	như dưới đây
as follows	như sau
as if	tựa hồ
as long as	miễn
as much as possible	càng thêm càng tốt
as much as possible	nhiều nhất có thể
as of	tính đến
as per	theo như
as per	theo
as per	tuân theo
as soon as possible	sớm nhất có thể
as soon as possible	càng sớm càng tốt
as soon as	ngay
as well as	cũng như
as you sow, so shall you reap	gieo nhân nào gặt quả nấy
as	như
ASAP	sớm nhất có thể
ASAP	càng sớm càng tốt
asbestos	miăng
asbestos	amiăng
ascend	lên
ascent	lên
ascorbic acid	axit ascorbic
ASEAN	ASEAN
asexual reproduction	sinh sản vô tính
asexuality	vô tính
ash	tro
Ashgabat	A-sơ-ga-bát
Ashoka	A-dục
Ashoka	A-dục vương
ashram	tu viện
ashtray	gạt tàn thuốc
ashtray	gạt tàn
Asia Minor	Tiểu Á
Asia	Châu Á
Asia	Á Châu
Asia	Á
Asia	Á Tế Á
Asia-Pacific	Châu Á Thái Bình Dương
Asian black bear	gấu ngựa
Asian conical hat	nón lá
Asian Games	Đại hội Thể thao châu Á
Asian Games	Á vận hội
Asian giant hornet	ong bắp cày khổng lồ châu Á
Asian squat	ngồi xổm Châu Á
Asian swamp eel	lươn
Asian	châu Á
Asian	Á châu
Asian	người châu Á
Asian	người Á châu
Asian	người Á Đông
Asianize	Á hóa
Asianize	châu Á hóa
Asianize	Á châu hóa
Asiatic pennywort	rau má
ask	cầu xin
ask	hỏi
Asmara	A-xma-ra
asparagus	măng tây
asphalt	nhựa đường
aspirate	bật hơi
aspirated	bật hơi
ass	đít
ass	mông đít
ass	lừa
ass	người ngu
assassin	kẻ ám sát
assassin	sát thủ
assassinate	ám sát
assassination	ám sát
assassination	vụ
assassination	暗殺
assemble	tập hợp
assembler	trình hợp dịch
assembly language	hợp ngữ
assembly language	ngôn ngữ tổ hợp
asset management	quản lý tài sản
asshole	lỗ đít
asshole	đít
assimilate	đồng hóa
assimilation	đồng hoá
assist	trợ giúp
assist	giúp
assist	hỗ trợ
assistance	giúp đỡ
assistant	phó thủ
assistant	người phụ việc
associate professor	phó giáo sư
association football	bóng đá
associational	liên tưởng
associative array	mảng kết hợp
assume	cho rằng
astatine	astatin
asterisk	dấu sao
asterisk	dấu hoa thị
asterism	mảng sao
asteroid	tiểu hành tinh
asthma	suyễn
asthma	hen
asthma	hen suyễn
astringent	chát
astrobiology	sinh học vũ trụ
astrology	chiêm tinh học
astronaut	nhà du hành vũ trụ
astronaut	phi hành gia
astronomer	nhà thiên văn học
astronomy	thiên văn học
astrophotography	nhiếp ảnh thiên văn
astrophysics	vật lý thiên văn
astrotourism	du lịch thiên văn
Asunción	A-xun-xi-ôn
Asura	A tu la
asylum seeker	người xin tị nạn
asylum seeker	người xin tỵ nạn
asylum	viện cứu tế
asymmetric digital subscriber line	Đường dây thuê bao số bất đối xứng
asynchronous transfer mode	chế độ truyền bất đối xứng
at all costs	bằng mọi giá
at all	cả
at all	quái
at first glance	ban đầu
at first glance	thoạt nhìn
at first	mới đầu
at least	ít nhất
at least	tối thiểu
at length	dài dòng
at sign	a còng
at sign	a móc
at stake	lâm nguy
at stake	bị đe dọa
at the hands of	dưới bàn tay của
at the hands of	dưới tay của
at the moment	vào lúc này
at	ở tại
at	lúc
at	vào
at	ở
Athanasius	Athanasiô
atheism	chủ nghĩa vô thần
atheism	thuyết vô thần
atheism	vô thần luận
Athens	A-ten
Athens	Nhã Điển
Athens	Á Thiên
athlete	vận động viên
athlete	nhà thể thao
athlete's foot	nấm da chân
Atlantic Ocean	Đại Tây Dương
Atlas Mountains	dãy núi Atlas
atlas	tập bản đồ
ATM	máy rút tiền tự động
ATM	máy giao dịch tự động
ATM	ATM
ATM	chế độ truyền bất đối xứng
atmosphere	bầu không khí
atmosphere	khí quyển
atmosphere	không khí
atom	nguyên tử
atomic bomb	bom nguyên tử
atomic mass	nguyên tử khối
atomic number	số nguyên tử
atrocity	tàn ác
atrocity	tàn bạo
attaché	tuỳ viên
attack aircraft	máy bay cường kích
attack	tấn công
attack	công kích
attempt	thử
attempt	cố gắng
attend	tham gia
attendance	sự tham dự
attention	chú ý
attic	gác
attic	gác xép
attitude	thái độ
attorney	luật sư
attractive	quyến rũ
auction	bán đấu giá
auction	đấu giá
audience	khán giả
audience	quý vị
audio	âm thanh
audio	âm tần
audiobook	sách nghe
audiobook	sách nói
audiology	thính học
audiotape	băng ghi âm
audiotape	băng thu âm
audiotape	ghi âm
audiotape	thu âm
audiovisual	nghe nhìn
audiovisual	thính thị
auditorium	giảng đường
August	tháng tám
Augustine	Augustinô
Augustine	Âu Tinh
aunt	cô
aunt	dì
aunt-in-law	bác
aunt-in-law	bác gái
aunt-in-law	thím
aunt-in-law	mợ
aurochs	bò rừng châu Âu
aurochs	bò Tur
aurora	cực quang
Australia	Úc
Australia	Úc Đại Lợi
Australia	Châu Úc
Australia	Úc Châu
Australia	Ô-xtrây-li-a
Australia	nước Úc
Australia	Australia
Australian dollar	đô la Úc
Australian white ibis	cò quăm trắng Australia
Australian	tiếng Úc
Australian	Úc
Australian	Úc Đại Lợi
Australian	Ô-xtrây-li-a
Australian	châu Úc
Australian	Úc châu
Australian	người châu Úc
Australian	người Úc châu
Australian	người Úc
Australian	người Úc Đại Lợi
Australian	người Ô-xtrây-li-a
Australianise	Úc hóa
Australianise	Úc hoá
Austria	Áo
Austria	Áo Địa Lợi
Austria-Hungary	Đế quốc Áo-Hung
Austrian	Áo
Austrian	người Áo
Austroasiatic	Nam Á
authentic	chân chính
authentication	xác thực
author	tác giả
authoritarian	quyền uy
authoritarianism	chủ nghĩa chuyên chế
authorities	giới chức
authority	quyền lực
autism	tự kỉ
autobus	ô tô buýt
autocannon	pháo tự động
autocracy	chế độ chuyên quyền
autocrat	người chuyên quyền
autocratic	chuyên quyền
automated teller machine	máy rút tiền tự động
automatic	tự nhiên
automatic	tự động
automation	tự động hóa
automobile	xe hơi
automobile	ô tô
automobile	xe
autonomous	tự trị
autonomy	tự trị
autophagy	tự thực
autophagy	tự ăn mình
autotroph	sinh vật tự dưỡng
autumn	mùa thu
autumn	thu
auxiliary verb	trợ động từ
auxiliary	phụ trợ
avalanche	tuyết lở
Avalokiteshvara	Quán Thế Âm
avenge	phục thù
avenge	trả thù
avenue	đại lộ
average	trung bình
avian influenza	dịch cúm gia cầm
aviation	hàng không
avocado	bơ
Avogadro's number	hằng số A-vô-ga-đrô
Avogadro's number	số A-vô-ga-đrô
avoid	tránh
avoid	tránh xa
avoid	né
await	chờ đợi
await	chờ
await	đợi
awake	thức
awake	thức dậy
awake	dậy lên
awake	dậy
awake	gợi
awake	gây lên
award	giải thưởng
award	trao giải
awareness	nhận thức
awesome	dễ sợ
awesome	đáng sợ
awesome	đáng kinh sợ
awesome	tuyệt vời
awesome	tuyệt cú mèo
awful	khủng khiếp
awl	giùi
awning	hiên
axe	rìu
axiom	chân lý
axiom	sự thật
axiom	chân lí
axis of evil	trục ma quỷ
axis of evil	liên minh ma quỷ
axis of evil	liên minh diệt vong
Axis power	khối Trục
axis	trục
axon	sợi trục
aye-aye	khỉ aye-aye
ayu	cá thơm
ayu	cá hương
Ayurveda	Ayurveda
Azerbaijan	Ai-déc-bai-gian
Azerbaijan	A-déc-bai-dan
Azerbaijani	Ai-déc-bai-gian
azimuth	góc phương vị
azuki bean	đậu đỏ
azure	xanh da trời
baa	be be
Baal	Ba-an
Baal	Ba-anh
Baal	Ba Anh
Bab el Mandeb	Bab-el-Mandeb
Baba Yaga	Baba-Yaga
babble word	tiếng bi bô
babble	lao xao
babble	tiết lộ
babble	rì rào
babble	róc rách
babble	lảm nhảm
babble	bi bô
babble	bập bẹ
babirusa	lợn hươu
baboon	khỉ đầu chó
baby bottle	chai
baby bottle	con chai
baby bump	bầu
baby corn	bắp non
baby	bé
baby	em bé
babysit	trông trẻ
babysit	trông em
babysitter	người giữ trẻ
bacillus	trực khuẩn
back and forth	tới lui
back	lùi lại
back	lại
back	lưng
back-formation	phái sinh ngược
backache	đau lưng
backbone	xương sống
backdrop	bối cảnh
background radiation	phông phóng xạ
background	nền
background	hình nền
background	bối cảnh
background	cơ sở
backlash	chống đối
backlink	liên kết ngược
backpack	ba lô
backpacker	tây ba lô
backspace	phím xóa lùi
backspace	phím lùi
backward	ngược lại
backwardation	bù hoãn bán
backyard	sân sau
bacon	thịt muối
bacon	thịt lợn muối xông khói
bacterium	vi khuẩn
bacterium	vi trùng
Bactrian camel	lạc đà hai bướu
bad debt	nợ xấu
bad news	tin buồn
bad news	tin dữ
bad	xấu
bad	dở
Baden-Württemberg	Ba-đen Vuyết-têm-béc
badge	huy hiệu
badger	lửng
badminton	cầu lông
Baekje	Bách Tế
Baffin Bay	vịnh Baffin
baffled	bối rối
bag	bao
bag	túi
bag	bỏ vào bao
bagel	bánh mì vòng
Baghdad	Bát-đa
Baghdad	Bác Đạt
bagpipes	kèn túi
bagua	bát quái
baguette	bánh mì
baguette	bánh mì Pháp
Bahamas	Ba-ha-mát
Bahrain	Ba-ren
baht	bạt
Baidu	Bách Độ
Baidu	Baidu
Baikal	hồ Baikal
Baikal	hồ Bai-can
bail bond	tiền thế chân tại ngoại
bail	người đóng tiền tại ngoại
bail	tại ngoại
bail	tại ngoại hậu cứu
bail	tiền tại ngoại
bait	mồi
bake	nướng
baker	người thợ làm bánh mì
bakery	lò bánh mì
bakery	tiệm bánh
baking tray	khay nướng
Baku	Ba-cu
balalaika	balalaica
balalaika	balalaika
balcony	ban công
bald eagle	đại bàng đầu trắng
bald	trọc
bald	hói
baldness	hói đầu
Balkanization	Balkan hóa
Balkans	Balkan
ball lightning	sét hòn
ball	vũ hội
ball	bóng
ball	banh
ball	dái
ball	trứng dái
ballad	dân ca
ballet flat	giày búp bê
ballet	ba lê
ballet	vở ba lê
ballistic missile	tên lửa đạn đạo
balloon	bóng
balloon	bóng bay
balloon	bong bóng
balloon	khí cầu
balloon	khinh khí cầu
ballot	lá phiếu
ballot	phiếu bầu cử
ballot	phiếu bầu
ballot	bỏ phiếu
ballot	bỏ phiếu bầu
ballpoint pen	viết bi
ballpoint pen	bút bi
ballpoint pen	bút nguyên tử
balsam	nhựa thơm
Baltic Sea	biển Ban Tích
Baltimore	Ban-ti-mo
balut	hột vịt lộn
balut	trứng vịt lộn
Bambara	tiếng Bambara
Bamboo Curtain	bức màn tre
bamboo diplomacy	ngoại giao cây tre
bamboo rat	dúi
bamboo shoot	măng
bamboo	tre
ban	cấm
ban	cấm chỉ
banal	nhàm
banana bread	bánh mì chuối
banana republic	cộng hòa chuối
banana	chuối
banana	trái chuối
banana	quả chuối
banana	cây chuối
band	băng
band	dải
band	bó
band	dàn nhạc
band	ban nhạc
band	nhóm nhạc
band	bọn
band	đoàn
band	lũ
band	toán
band	bầy
band	tụi
band	buộc dải
band	buộc băng
band	đóng đai
band-aid	băng cá nhân
band-aid	băng keo cá nhân
bandage	băng
bandage	băng giữ
bandage	băng bó
Bandar Seri Begawan	Ban-đa Xê-ri Bê-ga-oan
bandicoot	chuột gộc
bandit	kẻ cướp
bandit	cường đạo
bandmaster	nhạc trưởng
bandmaster	樂長
bang	chịch
bang	xoạc
bang	phang
Bangalore	Bengaluru
Bangka Belitung Islands	Quần đảo Bangka Belitung
Bangkok	Băng Cốc
Bangladesh	Băng-la-đét
Bangladeshi	Băng-la-đét
Bangui	Ban-ghi
banjo	đàn banjô
bank account	tài khoản ngân hàng
bank statement	sao kê
bank	bờ
bank	ngân hàng
bank	nhà băng
banker	chủ ngân hàng
banknote	giấy bạc
bankrupt	phá sản
bankruptcy	phá sản
banner year	năm thành công
banner	đặc biệt
banner	ngọn
banner	ngọn cờ
banner	vận động
banner	chiến dịch
banner	cờ
banner	lá cờ
banner	biểu ngữ
banner	bảng
banquet	đại tiệc
banquet	yến tiệc
bantam	gà ri
banyan	đa
banzai	vạn tuế
banzai	muôn năm
bao	bánh bao
baobab	bao báp
Baoding	Bảo Định
Baotou	Bao Đầu
baozi	bánh bao
baptism	rữa tội
baptismal name	tên thánh
baptismal name	tên rửa tội
bar	quán rượu
bar	ba
Barack	Ba-rắc
barb	cá mè
barb	ngạnh
Barbados	Bác-ba-đốt
barbarian	dã man
barbarian	mọi
barbarian	rợ
barbaric	dã man
barbecue	thịt nướng hun khói
barbed wire	dây kẽm gai
barber	thợ cắt tóc
barber	cắt tóc
barber	cạo mặt
barbershop	hiệu cắt tóc
Barbie	Barbie
Barbuda	Bác-bu-đa
barcarole	barcarolle
barcode	mã vạch
bardo	trung hữu
bare	trần
bare	trơ
bare	trụi
barefoot	chân đất
barefoot	chân không
barefoot	chân trần
Barents Sea	biển Barents
barge	sà lan
barium	bari
bark	vỏ
bark	vỏ cây
bark	sủa
barley	lúa mạch
barn owl	cú lợn
barn	kho
barn	vựa
barn	lẫm
barnacle	hà
Barnaul	Barnaul
barometer	áp kế
barometz	cẩu tích
baron	nam tước
barrack	doanh trại
barrack	trại lính
barracks emperor	hoàng đế quân nhân
barracuda	cá nhồng
barramundi	cá chẽm
barramundi	cá vược
barre chord	ba rê
barre chord	ba-rê
barre	bấm ba-rê
barrel bomb	bom thùng
barrel	nòng
barrel	thùng rượu
barrel	thùng tonneau
barrel	thùng tròn
barrier	chướng ngại
Bartholomew	Batôlômêô
basalt	ba-zan
basalt	ba-dan
base on	dựa vào
base on	phỏng theo
base on	dựa trên
base on	căn cứ vào
base	bazơ
base	căn cứ
baseball bat	chày
baseball	bóng chày
basemap	bản đồ cơ sở
basemap	bản đồ gốc
basement	tầng hầm
basil	húng tây
basin	cái chảo
basis	cơ sở
basket	giỏ
basket	rổ
basketball court	sân bóng rổ
basketball	bóng rổ
bass	ghi-ta bass
Basse-Terre	Basse-Terre
Basseterre	Bát-xê-tê-rê
bassoon	kèn fagôt
bastard	đẻ hoang
bastard	chó chết
bat	chày
bat	dơi
bat-eared fox	cáo tai dơi
bath	tắm
bath	tắm rửa
bath	tắm gội
bath	rửa ráy
bath	phòng tắm
bath	buồng tắm
bath	bồn tắm
bath	tắm bồn
bathe	tắm
bathe	tắm gội
bathe	tắm rửa
bathe	rửa ráy
bathe	ngâm
bathroom	buồng tắm
bathroom	phòng tắm
bathtub	bể tắm
bathtub	bồn tắm
batik	batik
Batman	Người Dơi
battalion	tiểu đoàn
Battambang	Battambang
battery	bộ dụng cụ
battery	khẩu đội pháo
battery	pin
battery	bình điện
battery	ẩu đả
Battle of Britain	Không chiến tại Anh Quốc
battle	trận đánh
battlefield	chiến trường
Bautzen	Bautzen
Bavaria	Bây-ơn
Bay of Bengal	Vịnh Bengal
Bay of Biscay	Vịnh Biscay
bay	vịnh
bayan	đàn baian
bayonet	lưỡi lê
bazaar	chợ
BCE	TCN
be able to	có thể
be able to	nổi
be awake	thức
be born	sinh
be called	gọi là
be careful	cẩn thận
be right	đúng
be silent	im lặng
be silent	lặng thinh
be there	đồng hành
be used to	đã quen với
be	từng
be	đến
be	có
be	ở
be	được
be	bị
be	đang
be	thì
be	là
beach	bãi biển
bead tree	xoan
bead	chuỗi hạt
bead	tràng hạt
beak	mỏ
beam	tia
bean sprout	giá đỗ
bean sprout	giá
bean	đậu
beanie	nón len
beanie	mũ len
bear cub	gấu con
bear cub	con gấu con
bear	đầu cơ giá xuống
bear	gấu
bear	vác
bear	hướng
bear	mang
bear	ẵm
bear	bế
bear	dẫn chứng
bear	sinh sản
bear	chịu
beard	râu
bearing	ổ đỡ trục
bearing	ổ đỡ
bearing	ổ trục
beat around the bush	vòng vo tam quốc
beat it	cút
beat it	phắn
beat it	xéo
beat it	biến
beat up	đánh đập
beat	đánh
beat	đập
beat	thắng
Beaufort scale	thang sức gió Beaufort
beautiful	đẹp
beautiful	xinh đẹp
beauty pageant	cuộc thi sắc đẹp
beauty parlor	thẩm mỹ viện
beauty parlor	tiệm làm đẹp
beauty parlor	mỹ viện
beauty queen	hoa hậu
beauty spot	thắng cảnh
beauty	mỹ nhân
beauty	mỹ nữ
beaver	hải ly
because of	bởi
because	tại vì
because	vì
because	bởi vì
become	trở nên
become	trở thành
bed	lớp
bed	nền
bed	luống
bed	giường
bed	chỗ ngủ
bed	đáy
bed	lòng
bed	đi giường
bed	đi ngủ
bedbug	rệp
bedroom	phòng ngủ
bedroom	buồng ngủ
bedsheet	vải trải giường
bedtime	giờ đi ngủ
bee	ong
bee	bê
bee	bờ
bee-eater	trảu
beech	cây gie gai
beef	thịt bò
beefsteak	bít tết
beehive	tổ ong
beekeeping	nuôi ong
beep	bíp
beer belly	bụng bia
beer	bia
beer	rượu
beer	rượu bia
beer	li bia
beer	cốc bia
beer	loại bia
beeswax	sáp ong
beet	củ cải ngọt
Beethoven	Bét-thô-ven
beetle	bọ cánh cứng
beetroot	củ cải đường
beetroot	củ dền
before	trước đây
before	trước
before	đằng trước
before	trước khi
beg	khẩn cầu
beg	ăn xin
beggar	ăn xin
beggar	ăn mày
begin	bắt đầu
beginner	người bắt đầu
beginner	người mới học
beginning	phần đầu
beginning	bắt đầu
beginning	đầu
begonia	thu hải đường
behave	cư xử
behavior	hành vi
behaviorism	chủ nghĩa hành vi
behead	chặt đầu
behead	chém đầu
behind every successful man there stands a woman	đằng sau một người đàn ông thành công luôn có bóng dáng người phụ nữ
behind	sau
beige	be
beige	màu be
Beijing	Bắc Kinh
being	sinh vật
Beirut	Bây-rút
Belarus	Bê-la-rút
Belarus	Bạch Nga
Belarusian	Bê-la-rút
Belarusian	Bạch Nga
Belarusian	tiếng Bê-la-rút
